run,fit1,node1,fit2,node2
11,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
11,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
12,662481,-4.4821_3.4999_-1.4889_-0.4911_-2.4867,327181,0.5066_4.4976_-3.4844_2.5021_1.5044
12,327181,0.5066_4.4976_-3.4844_2.5021_1.5044,139294,3.4950_0.5101_-0.4849_2.5000_2.5000
12,139294,3.4950_0.5101_-0.4849_2.5000_2.5000,99496,3.4950_0.5101_0.5101_1.5050_2.5000
12,99496,3.4950_0.5101_0.5101_1.5050_2.5000,29849,2.5000_1.5050_1.5050_2.5000_3.4950
12,29849,2.5000_1.5050_1.5050_2.5000_3.4950,19899,2.5000_1.5050_2.5000_2.5000_3.4950
12,19899,2.5000_1.5050_2.5000_2.5000_3.4950,9950,2.5000_1.5050_2.5000_2.5000_2.5000
12,9950,2.5000_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_1.5050_2.5000
12,9950,2.5000_2.5000_2.5000_1.5050_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
12,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
13,268974,3.4999_0.5066_-1.4889_-0.4912_2.5021,217998,4.4976_1.5044_-1.4889_0.5066_3.4999
13,217998,4.4976_1.5044_-1.4889_0.5066_3.4999,209129,4.4976_2.5021_-1.4889_0.5066_2.5021
13,209129,4.4976_2.5021_-1.4889_0.5066_2.5021,179092,3.4950_2.5000_-1.4798_1.5050_2.5000
13,179092,3.4950_2.5000_-1.4798_1.5050_2.5000,165903,4.4976_3.4999_-0.4912_2.5021_0.5066
13,165903,4.4976_3.4999_-0.4912_2.5021_0.5066,165903,4.4976_2.5021_0.5066_3.4999_-0.4912
13,165903,4.4976_2.5021_0.5066_3.4999_-0.4912,99496,4.4899_3.4950_2.5000_1.5050_0.5101
13,99496,4.4899_3.4950_2.5000_1.5050_0.5101,49748,4.4899_2.5000_2.5000_2.5000_1.5050
